GrLivArea,YearBuilt,GarageCars,TotalBsmtSF,FullBath,OverallQual,Neighborhood,SalePrice
1986,1965,2,768,2,7,NAmes,205000
1040,1996,2,1040,1,5,CollgCr,152000
2008,1948,1,896,3,5,Edwards,225000
3194,1934,2,965,2,8,Crawfor,359100
1029,1961,1,1029,1,4,Sawyer,118500
2153,2000,3,1440,2,9,CollgCr,313000
1032,1978,2,1032,2,6,NWAmes,148000
1872,2001,2,1299,2,8,CollgCr,261500
1120,2007,0,1120,1,5,Mitchel,147000
630,1972,0,630,1,4,MeadowV,75500
1054,1963,2,936,1,6,NAmes,137500
1509,2002,2,783,2,6,Gilbert,183200
832,1954,2,832,1,6,NAmes,105500
1828,2007,3,1822,2,9,NridgHt,314813
2262,2003,3,1482,2,8,Timber,305000
864,1914,0,864,1,3,Edwards,67000
2614,1974,2,1522,2,6,NWAmes,240000
980,1977,2,980,1,5,Sawyer,135000
1512,2000,2,756,2,6,Somerst,168500
1790,1972,2,732,1,6,NWAmes,165150
1116,1962,2,1116,1,6,NAmes,160000
1422,1960,1,978,1,5,NAmes,139900
1520,1955,1,1156,1,6,NAmes,153000
2080,1969,2,1040,1,5,NAmes,135000
1350,1964,2,1248,1,6,NAmes,168500
1750,1880,1,636,1,5,OldTown,124000
1554,2006,2,1554,2,8,NridgHt,209500
1411,1977,2,1386,2,7,NWAmes,82500
1056,1954,1,1056,1,5,NAmes,139400
1056,1980,2,1056,0,6,OldTown,144000
3395,1914,0,1440,2,6,SWISU,200000
800,1936,0,264,1,2,BrkSide,60000
1387,1954,1,811,2,5,OldTown,93000
796,1910,0,796,1,5,Edwards,85000
1567,2006,3,1520,2,8,Blmngtn,264561
1518,2003,2,1518,1,8,NridgHt,274000
1929,2001,2,1057,2,7,Somerst,226000
2704,1972,2,1952,2,8,NAmes,345000
1620,1969,2,780,2,5,NWAmes,152000
1766,2009,3,1766,2,9,Somerst,370878
981,1971,2,981,1,6,NAmes,143250
1048,1950,2,0,1,5,NAmes,98300
1094,1953,2,1094,1,6,Edwards,155000
1839,1966,2,756,1,6,NAmes,155000
630,1970,0,630,1,4,MeadowV,84500
1665,2007,2,813,2,7,Somerst,205950
1510,1940,1,755,1,4,Edwards,108000
1716,1996,2,880,2,7,CollgCr,191000
1469,1906,1,756,1,6,IDOTRR,135000
2113,1995,3,2109,2,8,NoRidge,350000
1092,1971,1,525,1,6,BrDale,88000
1053,1959,1,1053,1,5,NAmes,145500
1502,1931,1,776,1,7,Crawfor,149000
1458,1948,1,912,1,6,NAmes,97500
1486,1964,2,1486,1,5,Edwards,167000
1935,1976,2,793,2,7,NWAmes,197900
2448,1994,3,1629,2,8,NoRidge,402000
1392,1968,2,1392,1,6,NAmes,110000
1181,1972,2,1138,2,4,Edwards,137500
2097,2005,3,2077,1,8,Somerst,423000
1936,2000,2,1406,2,8,Gilbert,230500
2380,1965,2,1021,2,6,NAmes,129000
1679,1994,2,1408,2,6,SawyerW,193500
1437,1956,2,1188,1,5,Sawyer,168000
1180,1922,1,700,1,4,Crawfor,137500
1476,2005,2,738,2,6,CollgCr,173500
1369,1925,1,672,2,6,Edwards,103600
1208,1977,2,1208,1,6,Veenker,165000
1839,1957,2,1477,2,6,Crawfor,257500
1136,1965,1,1136,1,6,NAmes,140000
1441,1978,2,855,2,6,NPkVill,148500
1774,1900,3,1095,2,4,OldTown,87000
792,1924,1,768,1,5,OldTown,109500
2046,2008,3,2046,2,8,StoneBr,372500
988,1961,2,988,1,5,Sawyer,128500
923,1980,1,923,2,6,SawyerW,143000
1520,1932,1,793,1,5,SWISU,159434
1291,1996,2,1291,1,6,ClearCr,173000
1668,2002,3,1626,2,9,CollgCr,285000
1839,1998,2,1195,2,7,NoRidge,221000
2090,1984,2,1190,2,7,StoneBr,207500
1761,2007,2,874,3,7,Somerst,227875
1102,2004,2,551,2,7,Somerst,148800
1419,2007,2,1419,2,8,StoneBr,392000
1362,2005,2,1362,2,6,NridgHt,194700
848,2004,2,848,1,6,CollgCr,141000
4316,1994,3,2444,3,10,NoRidge,755000
2519,1989,2,1210,2,7,Timber,335000
1073,1921,1,1073,1,5,OldTown,108480
1539,1936,2,927,1,5,BrkSide,141500
1137,1987,2,1112,2,6,Timber,176000
616,1921,1,616,1,5,BrkSide,89000
1148,1952,1,980,1,5,Edwards,123500
894,1965,1,894,1,5,Sawyer,138500
1391,2004,2,1391,2,7,Somerst,196000
1800,2002,3,1800,2,8,Timber,312500
1164,1969,2,1164,1,7,NWAmes,140000
2576,2006,3,1234,2,8,StoneBr,361919
1812,1900,2,360,2,5,OldTown,140000
1484,2004,2,1473,2,7,CollgCr,213000
1092,1930,0,0,2,4,IDOTRR,55000
1824,1971,2,1643,2,7,ClearCr,302000
1324,2006,2,1324,2,8,NridgHt,254000
1456,2007,2,728,2,7,Gilbert,179540
904,1966,1,876,1,5,Sawyer,109900
729,1935,0,270,1,3,BrkSide,52000
1178,1900,1,859,1,4,IDOTRR,102776
1228,1988,2,1228,2,8,StoneBr,189000
960,1970,2,960,1,4,BrkSide,129000
1479,1976,2,725,2,6,Sawyer,130500
1350,1974,2,1064,2,6,NWAmes,165000
2554,1890,2,718,1,7,OldTown,159500
1178,1973,2,1176,1,5,NWAmes,157000
2418,1993,3,1311,2,7,NoRidge,341000
971,1969,1,971,1,5,CollgCr,128500
1742,1985,2,1742,2,8,StoneBr,275000
848,2004,2,848,1,6,CollgCr,143000
864,1970,2,864,1,4,NAmes,124500
1470,1954,1,941,2,4,Edwards,135000
1698,2007,3,1698,2,9,Edwards,320000
864,1970,2,864,1,4,NAmes,120500
1680,1988,2,880,2,6,Crawfor,222000
1232,2007,2,1232,2,7,CollgCr,194500
1776,1958,3,1584,2,5,NAmes,110000
1208,1925,2,780,1,4,IDOTRR,103000
1616,1995,2,1595,2,8,StoneBr,236500
1146,2003,2,868,2,7,Timber,187500
2031,1998,2,1153,2,7,CollgCr,222500
1144,1961,1,864,1,5,Sawyer,131400
948,1968,1,948,1,5,Sawyer,108000
1768,1914,2,880,1,7,OldTown,163000
1040,1950,2,0,2,3,NAmes,93500
1801,2005,3,893,2,8,Gilbert,239900
1200,1987,0,1200,3,5,Edwards,179000
1728,2004,2,864,2,7,CollgCr,190000
1432,1910,2,264,2,5,OldTown,132000
912,1961,1,912,1,6,Sawyer,142000
1349,2000,2,1349,2,7,SawyerW,179000
1464,1963,2,520,2,5,Sawyer,175000
1337,1993,2,1337,2,8,StoneBr,180000
2715,1976,2,1142,3,8,NWAmes,299800
2256,2000,2,952,2,7,Gilbert,236000
2640,1880,4,1240,1,7,OldTown,265979
1720,1996,2,1720,2,7,NoRidge,260400
1529,1945,1,0,2,4,Edwards,98000
1140,1910,0,576,1,4,OldTown,96500
1320,2003,2,660,2,7,Gilbert,162000
1494,1997,2,1479,2,6,CollgCr,217000
2098,2005,3,1030,2,8,NridgHt,275500
1026,1969,2,1026,1,6,NAmes,156000
1471,1999,2,729,2,6,Somerst,172500
1768,2007,2,866,2,8,CollgCr,212000
1386,1978,2,672,2,6,Sawyer,158900
1501,1999,2,744,2,7,Somerst,179400
2531,1995,3,1318,2,8,NoRidge,290000
864,1959,1,864,1,6,NAmes,127500
1301,1924,2,1145,1,5,BrkSide,100000
1547,2009,2,756,2,7,Somerst,215200
2365,1999,3,1252,2,8,NoRidge,337000
1494,1995,2,1494,1,8,Veenker,270000
1506,2008,2,1498,2,9,Somerst,264132
1714,1988,2,980,2,7,NWAmes,196500
1750,1940,1,983,2,6,Mitchel,160000
1836,2004,2,1860,2,7,CollgCr,216837
3279,2003,3,1650,3,8,StoneBr,538000
858,1982,2,858,1,5,Sawyer,134900
1220,1951,2,836,1,4,Edwards,102000
1117,1976,2,1029,1,6,Edwards,107000
912,1958,1,912,1,5,NAmes,114500
1973,2006,3,1935,2,8,NridgHt,395000
1204,1998,2,1204,2,6,Mitchel,162000
1614,2005,3,1614,2,7,CollgCr,221500
894,1974,2,864,1,5,Sawyer,142500
2020,1977,2,0,2,5,SawyerW,144000
1004,1977,2,975,1,6,Mitchel,135000
1253,1995,2,1237,2,7,Gilbert,176000
1603,1992,2,761,2,6,SawyerW,175900
1430,2001,2,1413,2,7,CollgCr,187100
1110,1978,2,1097,1,5,Mitchel,165500
1484,1914,0,742,2,6,OldTown,128000
1342,1967,2,1372,2,6,NWAmes,161500
1652,1915,1,686,2,5,OldTown,139000
2084,2004,2,956,2,7,SawyerW,233000
901,1954,1,901,1,4,OldTown,107900
2087,1966,2,832,2,6,ClearCr,187500
1145,2005,2,1145,2,7,Blmngtn,160200
1062,1976,2,1029,1,6,Mitchel,146800
2013,1996,2,1117,2,7,NoRidge,269790
1496,2007,2,1496,2,8,Somerst,225000
1895,1994,2,712,2,7,Gilbert,194500
1564,1980,2,650,2,6,SawyerW,171000
1285,1977,2,660,1,6,Sawyer,143500
773,1953,1,773,1,5,NAmes,110000
3140,2008,3,1926,3,9,NridgHt,485000
1768,1937,1,731,1,5,SWISU,175000
1688,1997,2,616,2,6,ClearCr,200000
1196,1916,2,1196,1,4,IDOTRR,109900
1456,2005,2,728,2,7,CollgCr,189000
2822,2008,3,1734,3,9,NridgHt,582933
1128,1954,1,936,1,5,NAmes,118000
1428,2008,2,1417,2,7,Somerst,227680
980,1967,1,980,2,5,NAmes,135500
1576,1923,2,1324,1,5,BrkSide,223500
1086,1966,2,1024,1,5,NAmes,159950
2138,1898,2,849,2,5,OldTown,106000
1309,1974,2,1040,1,6,NWAmes,181000
848,2004,2,848,1,6,CollgCr,144500
1044,1952,2,540,1,5,IDOTRR,55993
1442,1958,1,1442,1,6,NAmes,157900
1250,1918,1,686,1,5,Edwards,116000
1661,1998,2,1649,2,7,CollgCr,224900
1008,1954,1,1008,1,5,NAmes,137000
1689,2002,3,1568,2,8,Mitchel,271000
1052,1971,2,1010,1,6,ClearCr,155000
1358,2009,2,1358,2,7,NridgHt,224000
1640,2003,2,798,2,7,CollgCr,183000
936,1953,2,936,1,4,OldTown,93000
1733,2003,2,847,2,7,Gilbert,225000
1489,1940,1,778,2,6,SWISU,139500
1489,2006,2,1489,2,8,Somerst,232600
2084,2007,3,2078,2,10,NridgHt,385000
784,1924,0,784,1,5,BrkSide,109500
1434,2001,2,1454,2,7,SawyerW,189000
2126,1967,2,1013,2,5,ClearCr,185000
1223,2005,2,600,2,7,Somerst,147400
1392,1957,2,1392,1,6,NAmes,166000
1200,2005,2,600,2,7,Somerst,151000
1829,2003,2,941,2,7,CollgCr,237000
1516,1964,2,1516,1,6,NAmes,167000
1144,1961,2,1144,1,5,NAmes,139950
1067,1950,2,1067,2,4,Sawyer,128000
1559,1948,2,1559,1,5,OldTown,153500
987,1973,1,483,1,6,BrDale,100000
1099,1995,1,1099,1,5,CollgCr,144000
1200,1946,1,768,1,5,Edwards,130500
1482,1925,1,672,2,6,SWISU,140000
1539,1904,2,650,2,5,OldTown,157500
1165,1966,2,1127,1,6,NAmes,174900
1800,1961,0,1800,2,5,NAmes,141000
1416,1915,3,876,1,5,OldTown,153900
1701,1975,2,1390,2,5,Sawyer,171000
1775,1993,2,740,2,7,SawyerW,213000
864,1972,1,864,1,5,CollgCr,133500
2358,1908,2,907,3,6,ClearCr,240000
1855,1976,2,528,2,6,Veenker,187000
848,2003,2,848,1,6,CollgCr,131500
1456,2003,2,1273,2,8,Blmngtn,215000
1646,1941,1,918,2,7,Crawfor,164000
1445,1964,2,1127,1,6,NAmes,158000
1779,1955,2,1763,1,5,Sawyer,170000
1040,1962,1,1040,1,5,Sawyer,127000
1026,1978,2,940,1,6,CollgCr,147000
1481,1994,2,702,2,6,Gilbert,174000
1370,1976,2,1090,2,7,NWAmes,152000
2654,1968,2,1054,2,6,NWAmes,250000
1426,1918,1,912,1,7,Crawfor,189950
1039,1965,2,1039,1,5,Sawyer,131500
1097,1984,2,1040,2,6,SawyerW,152000
1148,1959,1,1148,1,5,NAmes,132500
1372,2007,2,1372,2,7,Somerst,250580
1002,1970,2,1002,1,5,NAmes,148500
1646,2006,3,1638,2,8,Timber,248900
1120,1961,2,1040,1,4,Sawyer,129000
2320,1948,2,0,2,5,Gilbert,169000
1949,1993,2,1050,2,7,SawyerW,236000
894,1962,1,894,1,5,NAmes,109500
1682,1998,2,804,2,6,CollgCr,200500
910,1953,2,105,1,5,NAmes,116000
1268,1949,1,832,1,5,NAmes,133000
1131,1941,1,676,1,5,OldTown,66500
2610,2007,2,1184,2,8,Somerst,303477
1040,1963,2,1064,1,4,Mitchel,132250
2224,2004,3,1462,2,9,NridgHt,350000
1155,1961,2,1109,1,5,Sawyer,148000
864,1978,1,864,1,5,CollgCr,136500
1090,2005,2,1090,1,5,Edwards,157000
1717,1990,2,1156,2,7,Timber,187500
1593,1992,2,808,2,6,Gilbert,178000
2230,1912,1,795,1,4,SWISU,118500
892,1967,1,892,1,5,NAmes,100000
1709,1999,2,1698,2,9,Somerst,328900
1712,1959,2,1626,2,5,NAmes,145000
1393,1955,1,816,1,5,Edwards,135500
2217,1970,2,2217,2,8,NAmes,268000
1505,1953,2,1505,1,6,NAmes,149500
924,1949,2,672,1,5,NAmes,122900
1683,1978,2,918,2,6,Sawyer,172500
1068,1963,1,1059,1,6,Sawyer,154500
1383,1954,1,1383,1,5,Sawyer,165000
1535,1979,2,0,2,5,SawyerW,118858
1796,1963,2,780,1,6,NAmes,140000
951,1936,1,951,1,4,IDOTRR,106500
2240,1979,2,0,2,5,SawyerW,142953
2364,2009,3,2330,2,9,NridgHt,611657
1236,1961,1,912,1,5,Sawyer,135000
858,1971,1,858,1,4,NAmes,110000
1306,1957,1,992,1,5,NAmes,153000
1509,2003,2,783,2,7,Gilbert,180000
1670,2006,3,1670,2,7,Gilbert,240000
902,1967,1,876,1,5,Sawyer,125500
1063,1954,1,1056,1,5,NAmes,128000
1636,2006,3,1623,2,8,Somerst,255000
2057,1936,1,1017,1,7,Crawfor,250000
902,1983,2,864,1,5,Mitchel,131000
1484,2005,2,742,2,6,Gilbert,174000
2274,1960,2,1105,2,5,NAmes,154300
1268,1977,1,1268,1,5,CollgCr,143500
1015,1925,1,768,1,5,BrkSide,88000
2002,1949,3,1001,2,5,Crawfor,145000
1224,2009,2,612,2,6,Somerst,173733
1092,1970,1,546,1,4,MeadowV,75000
480,1949,1,480,0,2,IDOTRR,35311
1229,1956,1,1134,1,4,Edwards,135000
2127,1991,3,1104,2,7,SawyerW,238000
1414,1958,2,1184,1,6,NAmes,176500
1721,1994,2,928,2,6,SawyerW,201000
2200,1900,0,1272,2,5,Edwards,145900
1316,2005,2,1316,2,6,Gilbert,169990
1617,1993,2,1604,2,6,SawyerW,193000
1686,1980,2,1686,2,6,NWAmes,207500
1126,1977,2,1126,2,5,NWAmes,175000
2374,2003,3,1181,2,8,NridgHt,285000
1978,1968,2,832,2,7,NWAmes,176000
1788,2001,2,1753,2,8,CollgCr,236500
2236,1997,2,964,2,7,Gilbert,222000
1466,2007,3,1466,2,8,Timber,201000
925,1965,1,925,1,5,NAmes,117500
1905,2006,3,1905,2,9,Somerst,320000
1500,2004,2,1500,2,7,CollgCr,190000
2069,1960,2,585,2,7,NAmes,242000
747,1926,2,600,1,4,BrkSide,79900
1200,2003,2,1176,2,7,SawyerW,184900
1971,2005,2,1113,2,7,Somerst,253000
1962,2006,3,1391,2,7,CollgCr,239799
2403,1940,1,1032,2,7,ClearCr,244400
1728,1976,2,1728,2,6,Mitchel,150900
2060,1999,2,992,2,7,Gilbert,214000
1440,1977,0,1440,2,4,Edwards,150000
1632,1967,2,1632,2,5,Mitchel,143000
1344,1958,2,819,1,6,Timber,137500
1869,1890,2,1088,1,5,OldTown,124900
1144,1959,1,1144,1,5,NAmes,143000
1629,2002,3,1616,2,8,Timber,270000
1776,2002,2,936,2,7,CollgCr,192500
1381,1972,2,1161,1,6,NWAmes,197500
864,1950,2,864,1,5,NAmes,129000
965,1965,1,828,1,5,SawyerW,119900
768,1972,1,768,1,5,CollgCr,133900
1968,1969,2,784,2,5,Mitchel,172000
980,1975,0,945,2,6,Edwards,127500
1958,1946,2,979,2,6,Crawfor,145000
1229,1980,2,561,1,6,Blueste,124000
1057,1962,2,1057,1,5,Sawyer,132000
1337,2003,2,1337,2,7,CollgCr,185000
1416,1999,2,696,2,7,Somerst,155000
858,1958,0,858,1,5,BrkSide,116500
2872,1977,2,1330,2,6,NWAmes,272000
1548,1976,2,804,2,6,NPkVill,155000
1800,2007,2,1800,2,9,CollgCr,239000
1894,2002,2,817,2,7,Timber,214900
1484,2005,2,783,2,6,Gilbert,178900
1308,1940,1,728,1,5,Crawfor,160000
1098,1955,1,1098,1,5,NAmes,135000
968,1910,0,600,1,3,OldTown,37900
1095,1958,1,588,1,6,NAmes,140000
1192,1949,0,720,1,4,NAmes,135000
1626,2003,2,764,2,7,NridgHt,173000
918,1979,1,918,2,6,SawyerW,99500
1428,2007,2,1428,2,7,Somerst,182000
2019,1910,2,728,1,7,BrkSide,167500
1382,2000,2,673,2,7,Somerst,165000
869,1923,0,440,1,4,BrkSide,85500
1241,2006,2,1241,1,7,Somerst,199900
894,1954,2,894,1,4,Edwards,110000
1121,1963,2,1121,1,5,Sawyer,139000
999,1961,2,944,1,7,NAmes,178400
2612,1998,3,1225,2,8,NoRidge,336000
1266,2007,2,1266,2,7,Blmngtn,159895
2290,2002,2,1128,2,8,CollgCr,255900
1734,1977,2,0,2,5,Mitchel,126000
1164,1950,1,1164,1,5,Edwards,125000
1635,1910,1,485,1,6,OldTown,117000
1940,2009,3,1930,2,9,NridgHt,395192
2030,1976,2,848,2,6,NWAmes,195000
1576,2006,2,770,2,7,Somerst,197000
2392,1997,3,1396,2,8,NoRidge,348000
1742,1882,2,916,1,8,OldTown,168000
1851,1964,2,822,2,6,NAmes,187000
1500,2005,2,750,2,6,CollgCr,173900
1718,2006,3,1700,2,10,NridgHt,337500
1230,1946,1,747,1,4,BrkSide,121600
1050,1961,1,1050,1,5,NAmes,136500
1442,1970,2,1442,2,6,NWAmes,185000
1077,1922,1,1007,1,3,IDOTRR,91000
1208,2006,2,1187,2,7,CollgCr,206000
944,1952,2,0,1,3,Edwards,82000
691,1920,1,691,1,5,OldTown,86000
1574,2006,3,1574,2,8,Somerst,232000
1680,1976,2,1680,2,5,NWAmes,136905
1504,2005,2,1346,2,7,Blmngtn,181000
985,1977,1,985,2,5,CollgCr,149900
1657,1970,2,1657,2,6,NAmes,163500
1092,1970,1,546,1,4,MeadowV,88000
1710,2004,2,1710,2,7,Mitchel,240000
1522,1926,0,1008,2,5,SWISU,102000
1271,1948,1,720,2,5,Sawyer,135000
1664,1965,0,0,2,5,Edwards,100000
1502,1923,1,602,1,6,Crawfor,165000
1022,1910,1,1022,1,5,OldTown,85000
1082,1948,1,1082,1,6,NAmes,119200
1665,2001,2,810,2,8,NWAmes,227000
1504,1996,2,1504,2,7,CollgCr,203000
1360,1984,2,1220,1,8,StoneBr,187500
1472,1991,2,384,2,7,Gilbert,160000
1506,2005,2,1362,2,7,Blmngtn,213490
1132,2005,2,1132,1,4,Edwards,176000
1220,2006,2,1199,2,7,CollgCr,194000
1248,1930,1,912,1,5,OldTown,87000
1504,2005,2,1346,2,7,Blmngtn,191000
2898,1976,2,1565,2,8,Timber,287000
882,1972,2,882,1,5,CollgCr,112500
1264,1960,2,1268,1,5,NAmes,167500
1646,2007,3,1638,2,8,Timber,293077
1376,1941,1,768,1,5,NAmes,105000
1218,1972,1,672,1,6,BrDale,118000
1928,1916,0,686,2,5,SWISU,160000
3082,1920,2,824,2,7,SWISU,197000
2520,1993,3,1338,2,8,NoRidge,310000
1654,2002,3,1654,2,7,CollgCr,230000
954,1938,1,920,1,5,Crawfor,119750
845,1957,1,0,1,4,Edwards,84000
1620,2007,3,1620,2,9,Timber,315500
2263,2001,2,1055,2,8,CollgCr,287000
1344,1970,0,546,1,4,MeadowV,97000
630,1970,1,630,1,4,MeadowV,80000
1803,1957,2,1134,2,5,Sawyer,155000
1632,1966,2,800,1,6,NWAmes,173000
1306,2005,2,1306,2,6,NridgHt,196000
2329,1990,2,1475,2,7,SawyerW,262280
2524,1981,2,2524,2,8,NWAmes,278000
1733,1955,2,0,2,3,Edwards,139600
2868,2005,3,1992,3,9,StoneBr,556581
990,1994,2,990,1,5,CollgCr,145000
1771,1960,2,0,1,5,Mitchel,115000
930,1946,1,0,1,4,Edwards,84900
1302,2007,2,1302,2,7,Gilbert,176485
1316,2007,2,1316,2,7,CollgCr,200141
1977,1964,2,816,1,6,NAmes,165000
1526,1957,1,1216,1,5,Edwards,144500
1989,2002,2,1065,2,8,CollgCr,255000
1523,1976,2,1193,2,6,NWAmes,180000
1364,2005,2,1364,2,7,NridgHt,185850
1850,1994,2,973,2,7,NoRidge,248000
2184,2008,3,1104,2,9,NridgHt,335000
1991,1932,2,854,1,6,Crawfor,220000
1338,2001,2,1338,2,8,StoneBr,213500
894,1935,3,894,1,3,IDOTRR,81000
2337,1900,2,662,2,5,OldTown,90000
1103,1925,2,1103,1,6,OldTown,110500
1154,1966,2,1154,1,5,NAmes,154000
2260,1996,2,1306,2,7,ClearCr,328000
1571,1993,2,799,2,6,Gilbert,178000
1611,1964,2,780,1,6,NAmes,167900
2521,1973,2,942,2,6,MeadowV,151400
893,1949,2,845,1,5,NAmes,135000
1048,1956,1,1048,1,5,NAmes,135000
1556,1968,2,727,1,6,NWAmes,154000
1456,1948,1,810,1,5,Edwards,91500
1426,1977,2,690,1,6,Edwards,159500
1240,2006,3,1240,2,7,CollgCr,194000
1740,1940,1,800,1,7,Crawfor,219500
1466,1936,2,796,2,5,OldTown,170000
1096,1969,1,1096,1,5,NAmes,138800
848,2004,2,848,1,6,CollgCr,155900
990,1994,1,990,1,5,CollgCr,126000
1258,1971,2,1258,2,6,NWAmes,145000
1040,1963,1,1040,1,5,Sawyer,133000
1459,2002,2,1459,2,7,CollgCr,192000
1251,1964,1,1251,1,6,NAmes,160000
1498,1995,2,691,2,6,Gilbert,187500
996,1992,2,936,1,6,SawyerW,147000
1092,1973,1,546,1,4,MeadowV,83500
1953,2005,3,1082,2,8,Somerst,252000
1709,2004,2,970,2,7,Edwards,137500
1247,2005,2,1247,1,8,Somerst,197000
1040,1950,2,0,2,3,NAmes,92900
1252,1999,2,600,2,7,Somerst,160000
1694,1925,2,1181,2,6,SWISU,136500
1200,1965,2,864,1,5,NAmes,146000
936,1956,1,936,1,5,NAmes,129000
1314,2006,2,1314,2,6,CollgCr,176432
1355,1914,0,684,1,6,IDOTRR,127000
1088,1986,2,1074,1,8,StoneBr,170000
1324,1936,1,672,1,4,BrkSide,128000
1601,1978,2,1271,2,7,NWAmes,157000
438,1920,1,290,1,2,SWISU,60000
950,1971,1,950,1,5,NAmes,119500
1134,1960,1,1010,1,5,NAmes,135000
1194,1959,2,655,1,6,NAmes,159500
1302,1970,2,630,2,5,BrDale,106000
2622,1994,2,1463,2,8,NoRidge,325000
1442,1990,2,910,2,7,SawyerW,179900
2021,2006,2,868,2,7,Gilbert,274725
1690,2000,2,924,2,6,Gilbert,181000
1836,2004,3,1836,2,8,NridgHt,280000
1658,1995,2,773,2,6,Gilbert,188000
1964,1976,2,803,2,7,NWAmes,205000
816,1957,1,816,1,5,NAmes,129900
1008,1953,1,1008,1,5,NAmes,134500
833,1954,1,833,1,5,OldTown,117000
1734,2007,3,1734,2,8,NridgHt,318000
1419,2002,2,408,2,8,Gilbert,184100
894,1967,2,894,1,5,Sawyer,130000
1601,1958,1,533,1,5,Sawyer,140000
1040,1959,1,1040,1,5,NAmes,133700
1012,1920,1,1012,1,6,IDOTRR,118400
1552,2005,3,1552,2,7,CollgCr,212900
960,1956,1,672,1,4,Edwards,112000
698,1947,0,698,1,5,Edwards,118000
1482,1992,2,384,2,7,Gilbert,163900
1005,1955,2,1005,1,4,NAmes,115000
1555,2007,3,1373,2,7,Blmngtn,174000
1530,2004,3,1530,2,7,Gilbert,259000
1959,2004,2,847,2,7,Gilbert,215000
936,1980,2,936,1,5,OldTown,140000
1981,1928,2,1122,2,4,SWISU,135000
974,1991,0,974,1,5,Mitchel,93500
2210,1880,1,1008,2,6,OldTown,117500
2020,1995,2,1128,2,8,SawyerW,239500
1600,1997,2,916,2,6,Gilbert,169000
986,1926,1,960,1,6,BrkSide,102000
1252,1950,1,1032,1,6,NAmes,119000
1020,1875,0,780,1,5,Sawyer,94000
1567,1977,2,1567,2,6,Mitchel,196000
1167,1920,2,915,1,5,BrkSide,144000
952,1951,2,952,1,5,NAmes,139000
1868,1976,2,780,2,5,NWAmes,197500
2828,2006,3,1466,3,8,CollgCr,424870
1006,1959,0,1006,1,5,Sawyer,80000
924,1941,1,672,1,4,Edwards,80000
1576,1928,1,1042,1,5,BrkSide,149000
1298,1985,2,1298,2,6,SawyerW,180000
1564,1941,1,704,1,7,Crawfor,174500
1111,1926,1,572,1,7,OldTown,116900
1482,1920,2,650,1,7,OldTown,143000
932,1950,1,932,1,6,NAmes,124000
1466,1959,2,1466,1,5,Edwards,149900
1811,1956,2,1073,1,6,Crawfor,230000
816,1930,1,816,1,6,IDOTRR,120500
1820,1965,2,864,1,7,NAmes,201800
1437,1976,2,1437,2,5,Veenker,218000
1265,1965,2,1219,2,5,NAmes,179900
1314,2007,2,1314,2,7,NridgHt,230000
1580,2007,3,1580,2,8,Somerst,235128
1876,1974,2,901,2,6,NWAmes,185000
1456,1978,2,855,2,6,NPkVill,146000
1640,1954,2,1296,1,6,Crawfor,224000
894,1968,2,894,1,5,Sawyer,129000
1258,1969,2,1198,0,4,Sawyer,108959
1432,1978,2,1360,1,5,Veenker,194000
1502,2009,2,1502,2,7,NridgHt,233170
1694,2008,3,1694,2,8,CollgCr,245350
1671,2000,2,959,2,6,Gilbert,173000
2108,1935,2,1127,2,6,Edwards,235000
3627,1995,3,1930,3,10,NoRidge,625000
1118,1977,1,1096,1,6,Mitchel,171000
1261,1958,2,1261,1,6,NAmes,163000
1250,2006,2,625,2,7,Somerst,171900
3086,1946,0,1598,3,5,ClearCr,200500
2345,1932,2,952,2,6,Crawfor,239000
2872,1992,2,1683,2,8,NoRidge,285000
923,1984,1,876,1,5,Mitchel,119500
1224,1926,1,818,1,6,OldTown,115000
1343,1921,1,731,1,5,Crawfor,154900
1124,1954,0,0,1,5,Edwards,93000
2514,1990,2,1216,2,7,Timber,250000
1652,2008,2,1600,2,8,Crawfor,392500
4476,1996,3,2396,3,10,NoRidge,745000
1130,1920,2,1120,1,5,OldTown,120000
1572,1963,3,1572,1,5,Timber,186700
1221,1924,1,784,1,5,Edwards,104900
1699,1900,2,978,2,3,OldTown,95000
1624,1994,3,1624,2,8,NoRidge,262000
1660,2002,2,831,2,7,CollgCr,195000
1804,1999,2,994,2,7,Gilbert,189000
1622,1961,4,1249,1,4,Mitchel,168000
1441,1999,2,776,2,8,Somerst,174000
1472,1925,1,702,1,5,OldTown,125000
1224,1999,2,1224,2,6,Mitchel,165000
1352,1969,1,663,1,6,Sawyer,158000
1456,2005,2,728,2,6,Gilbert,176000
1863,2006,3,879,2,7,Gilbert,219210
1690,1916,1,815,1,7,OldTown,144000
1212,2001,2,1212,2,7,CollgCr,178000
1382,1963,2,1051,1,4,Sawyer,148000
864,1970,1,864,1,4,NAmes,116050
1779,1998,2,866,2,7,CollgCr,197900
1348,1925,1,884,1,5,BrkSide,117000
1630,2000,2,1630,2,7,CollgCr,213000
1074,1975,2,1056,1,5,NWAmes,153500
2196,1990,3,2158,2,7,SawyerW,271900
1056,1966,1,1056,1,4,SawyerW,107000
1700,2003,2,1682,2,6,CollgCr,200000
1283,1962,2,931,1,5,NAmes,140000
1660,2006,2,1660,2,8,Somerst,290000
1845,1992,2,1055,2,6,SawyerW,189000
1752,1988,2,559,2,8,Gilbert,164000
